stop_name,line_code,Line,stop_lat,stop_lon,MED_COMMUT,UNEMPLOYME,PCT_IMMIGR,PCT_POSTSE,OWNERS,RENTERS,CONDOS,MEN_HO_INC,MEN_IN_INC,MARRIED,NOT_MARRIED,DEP_5_7AM,DEP_7_9AM,DEP_9AM,MED_SHELT_OWN,MED_SHELT_RNT,AVG_CHILD,AVG_ROOMS,MED_AGE,POP_DENS,MAIN_OCCUP,MAIN_COUNTRY,MAIN_TRANSP,,stop_order,SHOW_IN_MAP
Rosemont,o,orange,45.531242,-73.597844,27.7585448,8.648834078,22.64584767,65.08742834,15.06460908,43.24423526,20.57297056,40116.93601,26633.82138,35.64363282,57.42279682,7.173889849,36.26554275,12.91618346,1160.16525,678.8779823,0.733618593,4.116557306,34.7157831,10356.58425,Sales and service,France,Public transit,,22,TRUE
Saint-Laurent,v,verte,45.510773,-73.5649,19.31397908,11.49800861,37.76097462,66.52609363,16.63083222,45.51814761,37.24775567,37825.98677,24458.26175,36.00254935,68.30459654,4.736944884,32.09280661,12.26345635,1196.555712,834.1948763,0.564379347,3.465502378,39.1738356,8854.986961,Sales and service,France,Public transit,,14,TRUE
Saint-Michel,b,bleue,45.559798,-73.600078,30.4054864,11.82559985,43.08402342,40.58616068,13.95102755,32.15211378,8.150715817,35312.10062,20253.61622,39.88798238,47.0326447,9.174914226,22.18492923,10.62596855,788.7026204,622.1401057,1.123679625,4.375013948,40.37237696,9351.192715,Sales and service,Haiti,Public transit,,12,TRUE
Sauv&#xE9;,o,orange,45.550713,-73.656462,29.23484907,9.735859326,30.30208232,54.78992632,16.55343526,33.32584156,9.013705762,44019.09046,26503.77711,40.76352645,46.52736823,9.243080403,29.00552123,9.722854143,1068.533672,652.4485705,0.979014739,4.563348606,39.3847025,5912.58013,Sales and service,Algeria,Vehicle driver,,27,TRUE
Sherbrooke,o,orange,45.518345,-73.568251,23.125784,8.192266813,27.27628554,67.33839152,13.81350852,46.09471586,21.8254039,38932.97917,25700.3766,33.09940948,61.66617172,5.434912442,34.69192132,12.78284673,1076.784563,744.3597741,0.680876868,3.825883471,36.26569248,12987.97587,Sales and service,France,Public transit,,19,TRUE
Snowdon,b,multi orange-blue,44.485431,-74.627937,25.54243511,9.96894231,46.35200409,60.39062448,12.40528613,30.84958469,7.506209773,49001.36517,24270.17183,39.469821,44.47320696,4.062251126,28.2154638,9.50711338,1200.748942,796.6447084,0.104910775,3.814727795,35.94941452,10801.61566,Sales and service,Philippines,Public transit,,1,TRUE
Snowdon,o,multi orange-blue,45.485431,-73.627937,26.54243511,10.96894231,47.35200409,61.39062448,13.40528613,31.84958469,8.506209773,49002.36517,24271.17183,40.469821,45.47320696,5.062251126,29.2154638,10.50711338,1201.748942,797.6447084,1.104910775,4.814727795,36.94941452,10802.61566,Sales and service,Philippines,Public transit,,7,TRUE
Square-Victoria,o,orange,45.501559,-73.563647,16.52227565,8.339218841,34.74998798,74.56976355,28.60931193,32.68411114,68.36070141,50873.01189,31937.55826,41.43373466,61.56247988,3.723093941,37.21699822,10.58897008,1331.450368,1216.109611,0.533967203,3.573826468,36.45660049,4011.953911,"Business, finance and administration",China,Walked,,15,TRUE
Universit&#xE9;-de-Montr&#xE9;al,b,bleue,45.503409,-73.617822,29.98216921,13.12611172,37.45527677,69.76984281,9.081733448,42.55386286,20.53717817,34543.18949,18991.44514,35.52544126,59.90680472,3.965610146,29.77232282,9.409856231,1053.91838,757.7414597,0.922763028,4.163956841,30.74765757,8797.234396,Sales and service,Other places of birth in Africa,Public transit,,3,TRUE
Vend&#xF4;me,o,orange,45.473985,-73.604022,24.9820447,8.62257281,33.60242137,60.42777234,15.26042775,33.42969241,12.37744636,54225.7495,28664.45027,38.78083049,51.56552106,6.489480811,29.00513515,11.72831799,1151.299305,849.8127146,1.021493331,4.941001204,38.68190133,6569.957616,Sales and service,China,Public transit,,9,TRUE
Verdun,v,verte,45.459222,-73.571834,28.54588729,10.18477334,19.94495408,48.5656487,13.05861947,39.56963841,14.34870358,36741.33208,21813.32356,38.68334345,50.46554461,9.654425754,27.50945812,11.17845191,1115.259641,665.0247281,0.842214216,4.358755418,37.8280145,11092.57187,Sales and service,China,Public transit,,4,TRUE
Viau,v,verte,45.560894,-73.547215,26.95866173,7.070740346,20.24172602,53.54697712,19.50325914,35.88174301,28.5972692,41651.38087,28225.98049,37.41653454,52.47838762,9.490791164,29.00006681,13.15614437,1161.608438,613.7686535,0.866628646,4.073229973,37.65767674,6877.924375,Sales and service,France,Vehicle driver,,22,TRUE
Villa-Maria,o,orange,45.4795,-73.619884,26.74632468,8.470923348,33.99351813,66.79478554,18.50034386,26.65759422,9.671852318,72265.51119,32406.2054,43.69421877,44.82324307,4.921523972,33.07912046,9.526146584,1283.108585,854.0101175,1.066521359,5.697149897,39.30416997,8829.995004,"Education, law and social, community and government services",France,Vehicle driver,,8,TRUE
